date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,FL
2020-03-25,272,4,31,571,342,501,251,924,37,316,75,211,181,40,25,227,34,105,89,77,1343,24,2170,579,48,1147,51
2020-03-26,310,5,34,605,368,569,272,1026,39,367,83,240,203,42,26,278,35,126,95,89,1388,26,2351,636,53,1313,53
2020-03-27,359,7,37,657,403,603,326,1251,41,404,99,260,231,46,26,304,36,135,109,100,1674,29,2671,729,58,1426,57
2020-03-28,394,7,41,721,462,651,369,1361,46,438,113,313,251,53,30,336,37,148,116,109,1713,34,2893,808,68,1558,61
2020-03-29,436,8,43,788,496,684,410,1609,48,470,118,334,282,57,32,362,40,169,125,115,1823,39,3091,880,76,1654,62
2020-03-30,480,9,46,828,531,725,440,1835,49,493,122,347,309,62,34,387,41,181,128,131,1948,45,3345,946,80,1781,63
2020-03-31,493,10,47,866,550,748,465,1982,50,508,127,367,318,69,38,391,42,183,130,136,2076,46,3457,997,82,1844,65
2020-04-01,546,10,50,916,570,769,498,2213,53,516,136,379,337,70,40,410,44,190,133,145,2180,49,3655,1069,88,1913,69
2020-04-02,588,13,57,986,607,806,556,2454,56,564,145,404,353,75,41,450,44,208,140,157,2256,54,3826,1143,93,2024,73
2020-04-03,623,15,61,1050,633,844,583,2647,57,592,149,426,373,77,44,475,47,217,147,171,2361,55,3983,1198,104,2198,76
2020-04-04,663,16,62,1099,650,880,631,2937,60,619,151,446,396,78,47,497,47,231,152,182,2423,57,4105,1254,109,2312,77
2020-04-05,690,17,62,1133,668,902,661,3198,61,628,154,461,402,78,48,508,47,235,158,193,2489,59,4230,1301,116,2424,78
2020-04-06,722,17,63,1173,683,923,679,3309,61,636,159,475,415,84,49,525,49,242,162,202,2527,61,4308,1339,121,2490,78
2020-04-07,754,17,65,1231,706,944,719,3448,61,649,164,497,432,85,52,550,50,248,174,211,2583,62,4371,1374,126,2591,78
2020-04-08,782,17,66,1261,720,955,746,3573,62,656,168,498,446,91,52,569,50,252,179,223,2643,63,4446,1427,130,2635,79
2020-04-09,815,17,67,1324,739,976,773,3783,64,668,175,510,471,93,54,594,52,261,191,237,2698,65,4512,1477,134,2743,79
2020-04-10,844,19,71,1382,761,996,802,3929,73,691,179,522,490,98,55,622,53,272,196,251,2760,65,4625,1522,137,2813,80
2020-04-11,873,19,73,1426,773,1009,840,4026,88,702,182,546,511,100,56,631,55,284,210,263,2802,66,4729,1546,138,2872,80
2020-04-12,894,19,74,1454,778,1018,852,4103,89,715,183,555,535,101,56,639,57,294,221,272,2853,68,4767,1565,139,2919,80
